Cp,MaxDepth,MinSplit,Acc,Sen,Spe,MCC,F1,AUC
0,6,3,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,6,4,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,6,5,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,6,6,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,6,7,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,6,8,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,6,9,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,6,10,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,6,11,0.875,0.875,0.875,0.740938396,0.896,0.875
0,6,12,0.875,0.875,0.875,0.740938396,0.896,0.875
0,6,13,0.875,0.875,0.875,0.740938396,0.896,0.875
0,6,14,0.875,0.875,0.875,0.740938396,0.896,0.875
0,6,15,0.875,0.875,0.875,0.740938396,0.896,0.875
0,6,16,0.875,0.875,0.875,0.740938396,0.896,0.875
0,6,17,0.875,0.875,0.875,0.740938396,0.896,0.875
0,6,18,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,19,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,20,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,21,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,22,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,23,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,24,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,25,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,26,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,27,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,28,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,29,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,30,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,31,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,32,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,1,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,7,2,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,7,3,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,7,4,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,7,5,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,7,6,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,7,7,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,7,8,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,7,9,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,7,10,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,7,11,0.875,0.875,0.875,0.740938396,0.896,0.875
0,7,12,0.875,0.875,0.875,0.740938396,0.896,0.875
0,7,13,0.875,0.875,0.875,0.740938396,0.896,0.875
0,7,14,0.875,0.875,0.875,0.740938396,0.896,0.875
0,7,15,0.875,0.875,0.875,0.740938396,0.896,0.875
0,7,16,0.875,0.875,0.875,0.740938396,0.896,0.875
0,7,17,0.875,0.875,0.875,0.740938396,0.896,0.875
0,7,18,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,19,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,20,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,21,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,22,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,23,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,24,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,25,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,26,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,27,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,28,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,29,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,30,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,31,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,7,32,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,1,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,8,2,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,8,3,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,8,4,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,8,5,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,8,6,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,8,7,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,8,8,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,8,9,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,8,10,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,8,11,0.875,0.875,0.875,0.740938396,0.896,0.875
0,8,12,0.875,0.875,0.875,0.740938396,0.896,0.875
0,8,13,0.875,0.875,0.875,0.740938396,0.896,0.875
0,8,14,0.875,0.875,0.875,0.740938396,0.896,0.875
0,8,15,0.875,0.875,0.875,0.740938396,0.896,0.875
0,8,16,0.875,0.875,0.875,0.740938396,0.896,0.875
0,8,17,0.875,0.875,0.875,0.740938396,0.896,0.875
0,8,18,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,19,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,20,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,21,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,22,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,23,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,24,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,25,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,26,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,27,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,28,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,29,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,30,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,31,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,8,32,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,1,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,9,2,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,9,3,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,9,4,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,9,5,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,9,6,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,9,7,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,9,8,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,9,9,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,9,10,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,9,11,0.875,0.875,0.875,0.740938396,0.896,0.875
0,9,12,0.875,0.875,0.875,0.740938396,0.896,0.875
0,9,13,0.875,0.875,0.875,0.740938396,0.896,0.875
0,9,14,0.875,0.875,0.875,0.740938396,0.896,0.875
0,9,15,0.875,0.875,0.875,0.740938396,0.896,0.875
0,9,16,0.875,0.875,0.875,0.740938396,0.896,0.875
0,9,17,0.875,0.875,0.875,0.740938396,0.896,0.875
0,9,18,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,19,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,20,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,21,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,22,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,23,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,24,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,25,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,26,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,27,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,28,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,29,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,30,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,31,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,9,32,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,1,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,10,2,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,10,3,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,10,4,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,10,5,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,10,6,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,10,7,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,10,8,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,10,9,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,10,10,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,10,11,0.875,0.875,0.875,0.740938396,0.896,0.875
0,10,12,0.875,0.875,0.875,0.740938396,0.896,0.875
0,10,13,0.875,0.875,0.875,0.740938396,0.896,0.875
0,10,14,0.875,0.875,0.875,0.740938396,0.896,0.875
0,10,15,0.875,0.875,0.875,0.740938396,0.896,0.875
0,10,16,0.875,0.875,0.875,0.740938396,0.896,0.875
0,10,17,0.875,0.875,0.875,0.740938396,0.896,0.875
0,10,18,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,19,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,20,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,21,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,22,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,23,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,24,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,25,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,26,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,27,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,28,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,29,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,30,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,31,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,10,32,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,11,1,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,11,2,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,11,3,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,11,4,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,11,5,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,11,6,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,11,7,0.894230769,0.859375,0.95,0.791194777,0.909090909,0.9046875
0,11,8,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,11,9,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,11,10,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,11,11,0.875,0.875,0.875,0.740938396,0.896,0.875
0,11,12,0.875,0.875,0.875,0.740938396,0.896,0.875
0,11,13,0.875,0.875,0.875,0.740938396,0.896,0.875
0,11,14,0.875,0.875,0.875,0.740938396,0.896,0.875
0,11,15,0.875,0.875,0.875,0.740938396,0.896,0.875
